entrez	list
3248	Healthy
56898	Healthy
84191	Healthy
1719	Healthy
10311	Healthy
2123	Healthy
285550	Healthy
57282	Healthy
11162	Healthy
133383	Healthy
5732	Healthy
80194	Healthy
64407	Healthy
2330	Healthy
65084	Healthy
51227	Healthy
55074	Healthy
81577	Healthy
57763	Healthy
23220	Healthy
64431	Healthy
55884	Healthy
284161	Healthy
901	Healthy
245972	Healthy
57486	Healthy
1974	Healthy
3248	Healthy
84869	Healthy
8294	Healthy
115273	Healthy
81790	Healthy
10142	Healthy
10397	Healthy
2263	Healthy
368	Healthy
830	Healthy
132158	Healthy
51227	Healthy
5264	Healthy
10162	Healthy
132158	Healthy
4121	Healthy
80255	Healthy
79799	Healthy
7699	Healthy
23204	Healthy
55848	Healthy
51192	Healthy
51099	Healthy
50999	Healthy
29035	Healthy
440145	Healthy
6715	Healthy
57486	Healthy
3248	Healthy
8209	Healthy
6532	Healthy
8346	Healthy
4232	Healthy
64795	Healthy
79646	Healthy
10935	Healthy
64398	Healthy
677813	Healthy
8034	Healthy
51107	Healthy
1974	Healthy
132299	Healthy
51411	Healthy
493911	Healthy
830	Healthy
2710	Healthy
10136	Healthy
54675	Healthy
345079	Healthy
788	Healthy
91461	Healthy
80321	Healthy
65983	Healthy
406	Healthy
404636	Healthy
10224	Healthy
90624	Healthy
677823	Healthy
6512	Healthy
91419	Healthy
670	Healthy
151393	Healthy
120406	Healthy
120406	Healthy
7905	Healthy
80321	Healthy
1476	Healthy
8346	Healthy
9043	Healthy
79101	Healthy
6903	Healthy
282679	Healthy
55074	Healthy
151393	Healthy
1678	Healthy
11282	Healthy
5873	Healthy
80321	Healthy
1404	Healthy
2745	Healthy
90416	Healthy
55071	Healthy
4179	Healthy
1476	Healthy
6903	Healthy
34	Healthy
224	Healthy
100131187	Healthy
6392	Healthy
258010	Healthy
55105	Healthy
137695	Healthy
28982	Healthy
28982	Healthy
55225	Healthy
10006	Healthy
334	Healthy
29957	Healthy
440498	Healthy
8803	Healthy
1629	Healthy
11019	Healthy
84331	Healthy
2585	Healthy
55331	Healthy
6637	Healthy
51411	Healthy
404636	Healthy
55500	Healthy
26872	Healthy
4300	Healthy
5732	Healthy
64795	Healthy
132158	Healthy
406	Healthy
27236	Healthy
399818	Healthy
29078	Healthy
63874	Healthy
1622	Healthy
1161	Healthy
10106	Healthy
3248	Healthy
90550	Healthy
22906	Healthy
8293	Healthy
23608	Healthy
9	Healthy
11282	Healthy
6256	Healthy
56922	Healthy
56990	Healthy
3316	Healthy
9053	Healthy
347454	Healthy
10017	Healthy
55005	Healthy
11162	Healthy
79616	Healthy
6715	Healthy
94081	Healthy
27299	Healthy
5959	Healthy
1962	Healthy
10857	Healthy
63951	Healthy
8034	Healthy
22949	Healthy
4686	Healthy
50999	Healthy
93517	Healthy
79646	Healthy
7163	Healthy
112	Healthy
84331	Healthy
54148	Healthy
282969	Healthy
9053	Healthy
7447	Healthy
8294	Healthy
222236	Healthy
6392	Healthy
10451	Healthy
65983	Healthy
51187	Healthy
51186	Healthy
670	Healthy
64080	Healthy
56848	Healthy
1163	Healthy
1476	Healthy
2263	Healthy
51071	Healthy
2745	Healthy
51315	Healthy
4179	Healthy
6120	Healthy
83699	Healthy
54602	Healthy
11179	Healthy
374291	Healthy
10559	Healthy
245972	Healthy
9262	Healthy
55435	Healthy
79782	Healthy
54762	Healthy
900	Healthy
7109	Healthy
283927	Healthy
132158	Healthy
3248	Healthy
2650	Healthy
100129583	Healthy
56242	Healthy
53938	Healthy
